cores, sizeM, sizeN, sizeK, time[s],gflops
12, 2000, 2000, 2000, 0.022168, 721.767381
12, 4000, 4000, 4000, 0.132419, 966.627291
12, 6000, 6000, 6000, 0.420392, 1027.613370
12, 8000, 8000, 8000, 0.998058, 1025.992547
12, 10000, 10000, 10000, 2.182982, 916.178028
12, 12000, 12000, 12000, 3.716033, 930.024077
12, 14000, 14000, 14000, 5.505724, 996.780809
12, 16000, 16000, 16000, 8.194816, 999.656357
12, 18000, 18000, 18000, 12.681316, 919.778343
12, 20000, 20000, 20000, 16.768041, 954.196144
12, 2000, 2000, 10000, 0.087417, 915.150097
12, 4000, 4000, 10000, 0.316405, 1011.363542
12, 6000, 6000, 10000, 0.698617, 1030.607160
12, 8000, 8000, 10000, 1.268036, 1009.434668
12, 10000, 10000, 10000, 1.978970, 1010.626862
12, 12000, 12000, 10000, 2.962890, 972.023872
12, 14000, 14000, 10000, 4.275493, 916.853407
12, 16000, 16000, 10000, 4.962298, 1031.780000
12, 18000, 18000, 10000, 6.783087, 955.317200
12, 20000, 20000, 10000, 8.183800, 977.540971
